item_id,attr_id,attr_name,attr_value,val_id
24161353607,,Kho,CÒN HÀNG,
24161353607,100408,Kiểu kết nối,Có dây,
24161353607,100519,Các loại tai nghe,Nhét tai,
24161353607,100381,Game chuyên dụng,Có,
24161353607,100516,Thiết bị âm thanh tương thích,"điện thoại di động, PC & Laptop",
24161353607,,Gửi từ,Nước ngoài,
18381625974,,Số lượng hàng khuyến mãi,CÒN HÀNG,
18381625974,,Số sản phẩm còn lại,CÒN HÀNG,
18381625974,100488,Thương hiệu điện thoại tương thích,Others,
18381625974,100470,"Tính năng vỏ, ốp","chống bẩn, chống bụi, chống sốc",
18381625974,100134,Chất liệu,"Nhựa, silicon, TPU",
18381625974,,Gửi từ,Hà Nội,
